task,solution,link,long_solution
"Китайские мастера боевых искусств говорили, что драка – для дураков, для умных – победа. А что, по их мнению, – для мудрых?",Мир.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В Древней Руси их называли ломаными числами. Как их называют в настоящее время?,Дроби.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Кирпич весит два килограмма и пол кирпича. Сколько килограммов весит кирпич?,"На одну чашку весов кладём кирпич. На другую кладём 2‑х килограммовую гирю и пол-кирпича. Теперь разломим целый кирпич пополам и уберём по пол-кирпича с каждой чашки весов. Получаем: слева пол-кирпича, справа — 2‑х килограммовая гиря. То есть пол-кирпича весит два килограмма. А два пол-кирпича, то есть целый кирпич, весит четыре килограмма.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Эти люди для чего-то, возвращаясь к себе на родину, привозили с собой ветви экзотических растений, за что и получили свое прозвище. Что это за люди?","Паломники, они привозили листья пальмы.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Ни рыба ни мясо – о чем эта русская поговорка была первоначально?,О раках.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В Испании их называют португальцами, в Пруссии – русаками. А как их называют в России?",Тараканы.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Кого ловят малайцы с помощью запертой бамбуковой клетки с живым поросенком внутри?,"Питонов, они,съев поросенка, уже не могли вылезти из клетки.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У ежа 4 г, у собаки – 100 г, у лошади – 500 г, у слона – 4–5 кг, у человека – 1,4 кг. Чего?",Масса головного мозга.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В 1825 году улицы Филадельфии очищались от мусора домашними животными. Какими?,Свиньями.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какое блюдо придумал в 17 веке Марко Арони?,Макароны.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что теряет в полёте любой космонавт?,Вес.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Как известно, все исконно русские женские (полные) имена зканчиваются либо на А, либо на Я: Анна, Мария, Ольга и т.д. Однако есть одно женское имя, которое не оканчивается ни на А, ни на Я. Назовите его.",Любовь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Галльские жрецы нашли безотказный способ быстрой мобилизации воинов в случае войны. Для этого они приносили в жертву только одного человека. Какого?,Пришедшего последним.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Однажды в городе Ницце провели конкурс на самого выносливого курильщика. Один из участников установил рекорд, выкурив 60 сигарет подряд. Однако приза он не получил. Почему?",Он умер.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
У человека двенадцать пар рёбер. А у кого рёбер около трёхсот?,У змеи.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Во рту – дудка, в руке – бубен, под мышкой – харя. Так изображали на Руси скоморохов. Насчет дудки и бубна все ясно, а вот что такое харя?",Маска.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Всем известно, что «нельзя выносить сор из избы». А что все-таки с ним полагалось делать, если выносить нельзя?",Сжигать.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В каком месте русские мужики надевали шапки и рукавицы, независимо от времени года?",В бане.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Чем рыба колюшка похожа на птиц?,"Она вьёт гнёзда, откладывая туда икру.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какая трава самая высокая?,Бамбук.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Назовите сельскохозяйственную культуру, которая на 90% сгорает, а на 10% выбрасывается.",Табак.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Греки использовали это для защиты определенных частей своего тела. Это изготавливалось из коры сандалового дерева. Назовите это.,Сандалии.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Первые оранжереи появились во Франции. Как вы думаете, для чего?",Для выращивания апельсинов (оранж – апельсин).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Обладателем самого большого рога является белый носорог (до 158 см). А у какого животного самые мягкие рога?,Улитка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Именно это использовали футбольные арбитры до того, как стали применять свисток.",Колокольчик.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что считается грязным, когда оно белое, и чистым, когда оно зелёное?",Классная доска.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"На практике при движении по кривой этот шарик делает 5000 оборотов в минуту, а при движении по прямой более 20000 оборотов в минуту. Где этот шарик находится?",В шариковой ручке.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У великого Гиппократа спросили: “Правда ли, что гениальность – это болезнь?” “Безусловно, – ответил Гиппократ, – но очень редкая.” Какое еще свойство этой болезни отметил с сожалением Гиппократ?",Незаразная.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Как назывался город в Англии, где в 1873 году впервые была продемонстрирована популярная и по сей день индийская игра?",Бадминтон.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Где, судя по названию, древние славяне крепили чехол для охотничьего холодного оружия?",На ноге. Это ножны.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У трёх маляров был брат Иван, а у Ивана братьев не было. Как это могло быть?",У Ивана были три сестры.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У русских князей были различные прозвища, которые происходили от названия городов (Владимирский, Черниговский, Галицкий), от ярких личных качеств (Удалой, Мудрый, Калита). Какое прозвище получил князь Всеволод, имевший двенадцать детей?",Всеволод Большое Гнездо.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В 1240 г. в Киевской Руси впервые была проведена перепись населения. Кто и с какой целью это сделал?,Батый (чтобы собирать с населения дань).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Шел 988 год… Многочисленная толпа жителей древнего Киева для чего-то двигалась к Днепру. Как назвали дорогу, по которой шли горожане?",988 – год крещения Руси. Улица называется Крещатик.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Россия состояла из Великороссии (собственно России), Малороссии (Украины), Белой Руси (Белоруссии). А как называли Маньчжурию, входившую в состав этого государства?",Желтороссия.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Сократ занимался этим “в целях обострения мысли”. Так же поступал и Сенека. Горация таким способом вылечили от тяжелой болезни. Большим любителем этого был Суворов. Любили заниматься этим и А.С.Пушкин и Л.Н.Толстой. Чем же они занимались?,Ходили босиком.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Как раньше в России называли философа?,Любомудр.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какой цветок считался символом королевской власти?,Лилия.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Если тюрки хотели сказать “охраняй селение”, они говорили “кара авыл”. А как мы говорим сейчас?",Карауль.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Древние римляне носили тунику. А что они носили, когда наступали холода?","Несколько туник, одетых одна поверх другой.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Как по-татарски будет “обувь”?,Башмак.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Мы, в основном, пользуемся только началом этой поговорки, а ее конец: “…только хвостом подавился”?",Собаку съел.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Скажите по-датски “Оле, закрой глазки”.",Оле Лукойе.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
По этому предмету одежды легко узнавали варваров.,Штаны.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
У какого литературного персонажа были 300-летние мозоли?,Старик Хоттабыч.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Этих трёх братьев можно назвать зодчими.,Три поросёнка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Как известно, дед Мазай спас от наводнения множество зайцев. Назовите человека, спасшего во время пожара восемнадцать голубей и воробья.",Дядя Стёпа.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Какими словами начинается пословица, если её окончание звучит так: “…а коровы яйца несут”?","Говорят, что кур доят…",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Какими словами начинается пословица, если её окончание звучит так: “…будет и Великий пост”?",Не все коту масленица…,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Как начинается пословица: “…велик пень, да дуплист”?","Мал золотник, да дорог.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Всем известно выражение “Беречь как зеницу ока”. А что такое “зеница ока”?,Глазной зрачок.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Это слово дословно означает “то, что будет после утра”. Что же это за слово?",Заутра – завтра.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Он очень хотел стать настоящим мальчиком и в конце концов стал им. Кто он?,Пиноккио.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какой сказочный герой от рождения владел тремя языками?,Змей горыныч.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"На Руси его ели повсеместно, римляне называли его смрадным растением, а Пифагор называл королем пряностей. Назовите его.",Чеснок.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
До появления картофеля это служило главной пищей бедных слоев населения Европы. А нам это более известно по короткому произведению с шестью персонажами.,Репа.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что это за растение, которое олицетворяет собой одновременно и родного, и приёмного родственника?",Мать-и-мачеха.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Среди всех огородных сорняков она, по мнению народной медицины, является очень полезной, особенно если с ней приготовить салат…",Крапива.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Русская загадка: “Красна девица, а сердце – каменное”. Что это?",Вишня.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У каких мирных кораблей не капитаны, а командиры?",Космических.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Назовите самый популярный вид транспорта на лесозаготовках в труднодоступных районах Азии.,Слоны.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Когда-то в русской армии служил офицер по фамилии Сиверст-Меринг, прославившийся, подобно барону Мюнхаузену, неуемной фантазией. Какой фразеологизм родился в связи с его именем?",Врет как сивый мерин.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У него есть четыре, но если их все отрезать, то у него станет целых восемь. О чем идет речь?",Об углах четырехугольника.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Екатерина II скупала по всему миру произведения искусства, чтобы поместить их в «уединенном убежище». Как мы его теперь называем?",Эрмитаж.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Юлий Цезарь приказал своим солдатам украсить щиты и оружие драгоценностями. Зачем?,Чтобы жалко было бросать.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Чем бег отличается от ходьбы? Прежде чем ответить на этот вопрос, вспомните, что бег может быть медленнее, нежели иная ходьба, и что бывает даже бег на месте.","Бег отличается от ходьбы не скоростью движения. При ходьбе наше тело все время соприкасается с землей какой-нибудь точкой ног. При беге же бывают моменты, когда тело наше совершенно отделяется от земли, не соприкасаясь с нею ни в одной точке.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В больницу города Кукуева направляли всех пострадавших в результате несчастных случаев в городе. Больше всего было водителей и пассажиров, пострадавших в ДТП. Чтобы уменьшить их число, городские власти сделали обязательным пользование ремнями безопасности. Водители и пассажиры стали пристегиваться этими ремнями, но число ДТП осталось неизменным, а число пострадавших в них людей, которые поступали в больницу, даже увеличилось. Почему?","Пользование ремнями безопасности уменьшило число погибающих при ДТП. Многие люди, которые без ремня безопасности погибли бы (и попали бы в морги), оставались в живых, но получали травмы, и им требовалось лечение. Поэтому число попадающих в больницу стало больше.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У дороги на посту стоят два часовых. Один смотрит в одну сторону дороги, а другой – в противоположную, но при этом они видят друг друга. Как такое может быть? Варианты с отражениями и т.п. – исключены.","Хотя часовые смотрят в противоположные стороны, стоят они не спиной к спине, а лицами друг к другу.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Если в 12 часов ночи идет дождь, то можно ли ожидать, что через 72 часа будет солнечная погода?","Нет, так как через 72 часа снова будет полночь.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Имеется круглое глубокое озеро диаметром 200 метров и два дерева, одно из которых растет на берегу у самой воды, другое – по центру озера на небольшом островке. Человеку, который не умеет плавать, нужно перебраться на островок при помощи веревки, длина которой чуть больше 200 метров. Как ему это сделать?","Привязав веревку одним концом к дереву, растущему на берегу, необходимо обойти озеро с натянутой над водой веревкой и привязать второй конец веревки к тому же дереву. В результате между деревьями будет натянута сдвоенная веревка для переправы на остров.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Человек живет на 17‑м этаже. На свой этаж он поднимается на лифте только в дождливую погоду или тогда, когда кто-нибудь из соседей с ним едет в лифте. Если погода хорошая и он один в лифте, то он едет до 9‑го этажа, а дальше до 17-го этажа идет пешком по лестнице… Почему?","Этот человек – лилипут, и до кнопки 17-го этажа дотягивается только зонтиком или просит кого-нибудь нажать на эту кнопку.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"— Сколько вам лет?
— Порядочно, — ответил он.
— Я старше некоторых своих родственников почти в шестьсот раз. Как такое может быть?","Например, если человеку 50 лет, а его внуку или внучке 1 месяц.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Люди, приезжавшие в одну деревушку, часто удивлялись местному дурачку. Когда ему предлагали выбор между блестящей 10-рублевой монетой и мятой сторублевой купюрой, он всегда выбирал монету, хотя она стоит вдесятеро меньше купюры. Почему он никогда не выбирал купюру?","Он был вовсе не глуп: он понимал, что, пока он будет выбирать десятирублевую монету, люди будут предлагать ему деньги на выбор, а если он выберет сторублевую купюру, предложения денег прекратятся, и он не будет получать ничего.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Позавчера Пете было 17 лет. В следующем году ему исполнится 20 лет. Как такое может быть?,"Если нынешний день 1 января, а День Рождения у Пети 31 декабря. Позавчера (30 декабря) ему было еще 17 лет, вчера (31 декабря) исполнилось 18 лет, в нынешнем году исполнится 19 лет, а в следующем 20.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Один король хотел сместить своего премьер-министра, но при этом не хотел его слишком обидеть. Он позвал премьер-министра к себе, положил при нем два листка бумаги в портфель и сказал: “На одном листке я написал “Уходите”, а на втором — “Останьтесь”. Листок, который вы вытащите, решит вашу судьбу”. Премьер-министр догадался, что на обоих листках было написано “Уходите”. Как же, однако, умудрился он при этих условиях сохранить свое место?","Премьер-министр вытащил листок бумаги и, не глядя на него, скатал из него шарик — и проглотил. Поскольку на оставшемся листке стояло ‑Уходите‑, то королю пришлось признать, что на проглоченном листке значилось ‑Останьтесь-.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Один джентльмен, показывая своему другу портрет, нарисованный по его заказу одним художником, сказал: “У меня нет ни сестер, ни братьев, но отец этого человека был сыном моего отца”.",На портрете изображен сын этого джентльмена.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В парке 8 скамеек. Три покрасили. Сколько скамеек стало в парке?,Восемь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Термометр показывает плюс 15 градусов. Сколько градусов покажут два таких термометра?,15 градусов.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Батон разрезали на три части. Сколько сделали разрезов?,Два разреза.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что легче 1 кг ваты или 1 кг железа?,Одинаково.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Грузовик ехал в деревню. По дороге он встретил 4 легковые машины. Сколько машин ехало в деревню?,Одна.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Два раза родится, один раз умирает. Кто это?",Цыплёнок.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что с пола за хвост не поднимешь?,Клубок.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что всегда увеличивается и никогда не уменьшается?,Возраст.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Чем больше из нее берешь, тем больше становится. Что это?",Яма.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В 9‑этажном доме есть лифт. На первом этаже живет 2 человека, на втором 4 человека, на третьем 8 человек, на четвертом 16, на пятом 32 и так далее. Какая кнопка в лифте этого дома нажимается чаще других?",Кнопка первого этажа.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что идет то в гору, то с горы, но остается на месте?",Дорога.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"На дереве сидели 7 воробьёв, одного из них съела кошка. Сколько воробьёв осталось на дереве?",Ни одного: оставшиеся в живых воробьи разлетелись.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"К тебе пришли гости, а в холодильнике бутылка лимонада, пакет с яблочным соком и бутылка минеральной воды. Что ты откроешь в первую очередь?",Холодильник.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какой русский город летает?,Орёл.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что сырым не едят, а сварят – выбросят?",Лавровый лист.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какие два слова в русском языке пишутся с тремя буквами “е” подряд?,Длинношеее и змееед.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Когда европейцы привезли ее на Таити, то островитяне, никогда прежде не видевшие ничего подобного, окрестили ее свиньей с зубами на голове. Как называем ее мы?",Корова.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В Таиланде существуют школы для обезьян. Чему в них учат?,Собирать кокосовые орехи.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Как, по мнению ученых, крокодил избавляется от избытка солей в организме?",Плачет.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Одна из японских авиакомпаний рисует на носу своих самолетов огромные глаза. Зачем?,Отпугивать птиц.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Почему птицы для отлета осенью выбирают холодный день, а весной прилетают в тёплый?",Выбирают попутный ветер.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"По мнению писателя О’Генри, она – единственное животное, в которое забивают гвозди. Кто это?",Лошадь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Из кожи именно этого животного были впервые изготовлены напильники, которыми полировали дерево и даже мрамор.",Акулы.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какое животное занимает второе место после человека по количеству изображений на пьедесталах?,Лошадь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Отсутствие какого органа не позволяет акулам останавливаться хоть на миг, иначе они просто утонут?",Плавательный пузырь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
У кого зубы в желудке?,У краба.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"До XVI в. в природе существовали ее сорта только белого и желтого цвета. Однако голландские селекционеры, поклонники герцога Оранского, вывели известный в настоящее время cорт патриотичного цвета. О чем речь?",О моркови.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Судя по названию этой страны, она должна состоять в основном из равнин и степей. Тем не менее большая часть равнин ей уже не принадлежит, а в настоящее время около половины ее территории занимают горы, холмы и леса. Что это за страна?",Польша (от слова поле).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Территория Финляндии на 8% покрыта озерами. Хотя она и называется страной тысячи озёр (а их количество значительно больше), но первенство принадлежит другой. Какой?",Швеции.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Какой металл встречается в природе реже чем платина или уран, однако до последнего времени был почти в каждом доме?",Ртуть в термометре.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В каком штате США на 50 мужчин приходится одна женщина?,Аляска.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Существует что-то такое хрупкое, что даже произнеся его имя, вы его нарушите. Что это?",Тишина.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В 1086 г. сестра Владимира Мономаха открыла школу при одном из киевских монастырей. Чем эта школа отличалась от всех существовавших на Руси до этого?,Это была первая школа для женщин.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Где впервые был обнаружен картофель?,В земле.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Как написать «девятнадцать», а затем, убрав единицу, получить «двадцать»?",XIX.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Накормите его, и он оживет. Напоите его, и он умрет. Что это такое?",Огонь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что имеет 5 пальцев, но при этом не является живым существом.",Перчатка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Я – ничто, но у меня есть название. Иногда бываю большой, иногда маленькой и не могу существовать в одиночку. Кто я?",Тень.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
На что больше всего похожа половина апельсина?,На вторую половину.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какая деталь книжного шкафа состоит из половины согласной буквы?,Полка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Сколько концов у трех палок? У четырех с половиной? у двух с четвертью?,"У трех – 6, у четырех с половиной – 10, у двух с четвертью – 6.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Сколько яиц можно съесть натощак?,Одно (остальные уже будут не натощак).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какое слово начинается с трех букв “Г” и заканчивается тремя буквами “Я”?,Тригонометрия.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Назовите среднее арифметическое между велосипедом и мотоциклом.,Мопед.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Маленький, серенький, на слона похож?",Слонёнок.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У  домбры их две, у арфы их пять, у гитары — шесть. А сколько их у пианино?",Семь (октав).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какой малыш рождается с усами?,"Например, котёнок.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Когда человек может мчаться со скоростью гоночного автомобиля?,Когда он в нём находится.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что есть у слонов и больше ни у каких животных?,Слонята.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Перед кем все люди снимают шляпу?,Перед парикмахером.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Как написать мышеловка пятью буквами?,Кошка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Сын моего отца, а мне не брат?",Я сам.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Из какого полотна нельзя сшить рубашку?,Из железнодорожного.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Какой город есть в компоте?,"Изюм (Город в Украине, в Харьковской области).",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В светильнике было 20 лампочек, 5 из них перегорели. Сколько лампочек осталось?",Двадцать лампочек (15 работающих и 5 перегоревших).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Папа на рыбалке за 10 минут поймал 3‑х рыбок. За какое время он поймает еще 10 рыбок?,Задача не имеет однозначного ответа.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
На подносе лежали 9 булочек. 9 девочек взяли по булочке. Но на подносе осталась одна булочка. Как такое получилось?,Последняя девочка взяла булочку вместе с подносом.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Васе 5 лет. А Ане 9 лет. Какая разница в возрасте будет между ними через три года?,Четыре года (разница с возрастом не меняется).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Из леса Миша принес бабушке для грибного супа 2 белых гриба, 3 подосиновика, 4 мухомора и 5 сыроежек. Сколько грибов пригодится бабушке на суп?","10 грибов, мухомор – несъедобный гриб.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Самолет, пароход, воздушный шар, вертолет. Какое слово здесь лишнее?",Пароход (не летает).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В подъезд одновременно зашли два человека. У одного квартира на 3‑м этаже, у другого – на 9‑м. Во сколько раз первый доедет быстрее 2‑го?","В 4 раза,т.к.1‑му надо преодолеть 2 промежутка между этажами, а 2‑му – 8.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Какой объект, сделанный человеком ранее 20-го века, может двигаться быстрее звука?","Кончик кнута. Характерный щелчок (хлопок) мы слышим именно потому, что кончик преодолевает звуковой барьер.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Колесо автомобиля катится вправо; обод его вертится по часовой стрелке. В какую сторону перемещается при этом воздух внутри резиновой шины колеса — навстречу вращению колеса или в том же направлении?,Воздух внутри шины движется от места сжатия в обе стороны — вперед и назад.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что в России на первом месте, а во Франции на втором?",Буква Р.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Верблюд в течение часа выдерживает ношу в 10 пудов. В течение какого времени он выдержит ношу в 1000 пудов?,Никакого. Верблюд не выдержит такой вес.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Почему загадки опасны для головы?,"Потому, что люди ломают над ним голову.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Что общее может быть у снега и у кустарника сирени?,Цвет. Цветки сирени бывают и белого цвета.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что делает сторож, когда у него на голове сидит воробей?",Спит.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Где находятся города без домов, реки без воды и леса без деревьев?",На географической карте,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
В названии какой стороны света сто одна буква?,Восток.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Кто говорит на всех языках?,Эхо.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"С грузом идут, без груза останавливаются.",Часы с гирями.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
У кого усы длиннее ног?,"У рака, у таракана.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что было “завтра”, а будет “вчера”?",Сегодня.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
