prompt,solution,link
"Регион: [Россия](/regiony/rossiya) Добрий день! Така ситуація: померлий має двох дітей від різних шлюбів одна з них наша спільна. Стажу він не мав,тому була оформлена соціальна допомога по утраті годувальника на дитину віком 11 років. Розмір виплати яку отримує дитина 889.92 грн. при тому що на одну дитину іде 100%- 1859, на двох 120%- 2310.
Виплата розділяється на двох дітей? Дітям нарахували менше 100% на двох",Форум по российскому праву,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobriy-den-taka-situaciya-pomerliy-maie-dvoh-ditey-vid
Регион: [Россия](/regiony/rossiya) У меня дарственная . имеет ли кто из родственников право на получение части имущества?,"Если вы собственник, то только вы распоряжаетесь имуществом",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/u-menya-darstvennaya-imeet-li-kto-iz-rodstvennikov-prav
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Я хочу продать металлический гараж в гаражном кооперативе(его можно вывести оттуда). Надо ли в договоре указывать паспортные данные(серию,номер)? И есть ли у вас образец договора?","Данный форум для бесплатных консультаций, образцы вы можете получить на платной консультации",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-ya-hochu-prodat-metallicheskiy-garazh-v-gar
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Смогу ли я въехать в Россию, предъявив на российской таможне внутренний паспорт гражданина РФ, без загранпаспорта? А смогу ли выехать из РФ по внутреннему паспорту? 

У меня два гражданства – украинское и российское, я живу на Украине, но нужно на месяц срочно приехать в РФ. Российский загранпаспорт я никогда не оформлял и времени оформлять его нет. Могу ли я при въезде на украинской таможне показать украинский загран, а на российской – внутренний паспорт РФ? Или нужно идти в посольство и получать временное удостоверение личности? И нужно ли мне в России оформить загран, чтобы по нему выехать? 

Заранее спасибо за ответ.","Данный вопрос будут рассматривать на таможне и еси вы будете показывать олновременно два разных паспорта, с учетом сложный отношений между странами, у вас могут быть проблемы при выезде и въезде",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-smogu-li-ya-vehat-v-rossiyu-predyaviv-na
"Регион: [Россия](/regiony/rossiya) Сын прописан в квартире его матери, но проживает со мной на моей жилплощади . Квартира, где сын прописан, не приватизирована и его мать является квартиросьемщиком, больше там никто не прописан. Мать лишена родительских, выплачивает алименты ежемесячно. В браке с ней не состояли. Сын, с первых дней, проживает со мной,уже 16 лет. Может ли мать выписать сына из квартиры? Квартира ей досталась от дедушки","Снять с регистрационного учета можно если не проживает лицо, т.е добровольно выехал",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/syn-propisan-v-kvartire-ego-materi-no-prozhivaet-so-mno
Регион: [Россия](/regiony/rossiya) Подскажите пожалуйста нужно ли прикладывать расчёты суммы пени к претензии? И есть ли какие-то официальные документы подтверждающие это,"В претензии можете указать сумму, онако в последующем в иске расчет должен быть в обязательном порядке, иначе его не смогут проверить",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/podskazhite-pozhaluysta-nuzhno-li-prikladyvat-raschyoty-s
"Регион: [Россия](/regiony/rossiya) Можно ли после 18летия потребовать сумму алиментов с отца, если он не выплачивал из на протяжении нескольких лет? Родители в разводе не были, но отец не проживал с семьёй. На алименты мы не подавали, а помимо алиментов отец, не лишенный родительских прав, средств не переводил","Так как ранее не поавали в суд, то не можете",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/mozhno-li-posle-18letiya-potrebovat-summu-alimentov-s-ot
"Регион: [Россия](/regiony/rossiya) Здравствуйте Дата, причина (статья, пункт, подпункт основания) завершения ИП
2021-08-17, 46, 1, 4",В чем ваш вопрос?,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-data-prichina-statya-punkt-podpunkt-osn
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Молодой человек ранее сидел в ИВС по ст. 7.27 КОАП (10 суток). Затем зашёл в магазин, где его поймал директор и написал на него 3 заявления. Сшили 3 дела с камер. Написала ему 3 статьи 158 часть 1. Получается у него 3 эпизода по статье 158 часть 1. Чего ожидать? Отправят ли его в сизо и могут ли ему дать домашний арест или хотя бы подписку о не выезде до суда?","Данный вопрос буде решать суд, с учетом признания вины, дохода и прочего",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-molodoy-chelovek-ranee-sidel-v-ivs-po-st-7
"Регион: [Россия](/regiony/rossiya) Здравствуйте! Имеет ли право работодатель привлечь сотрудника к вакцинации, если сфера деятельности компании не касается сферы услуг?",В соответствии со списокм распоряженй Губернатора,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/privlechenie-rabotodatelya-k-vakcinacii
"Регион: [Россия](/regiony/rossiya) После смерти моей бабушки по отцу (отца нет в живых), кто имеет право на наследство, кроме меня? У меня есть мать (вдова отца), и родная сестра (по матери, от другого отца)","Наследники первой очереди: родители, дети, супруг",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/kto-imeet-pravo-na-nasledstvo
"Регион: [Россия](/regiony/rossiya) Здравствуйте,подавал в суд на опр доли в квартире где я родился,живу и прописан,но не дождавшись суда меня определили в псих клинику родители,не решался дееспособности,к какому именно специалисту мне обратиться что бы меня поддержали на суде для опр доли и при этом повторно не направили в псих клинику",Вы можете обратиться к адвокату,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuytepodaval-v-sud-na-opr-doli-v-kvartire-gde-ya
"Регион: [Россия](/regiony/rossiya) Здравствуйте!
Моя бывшая супруга с нашей дочерью (7 лет) живет с человеком, который запрещает дочери носить нательный крестик.
Скажите, пожалуйста, является ли это нарушением закона?
Если да, то какой статьи какого закона и как можно повлиять на эту ситуацию, если словами, по-хорошему не получается?
(Они живут в России, а я - в Беларуси.)
Заранее спасибо.","Данный вопрос не урегулирован законодательстом, его решают сами родители, в первую очередь тот родитель, который проживает с ребенком",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-moya-byvshaya-supruga-s-nashey-docheryu-7-let
"Регион: [Россия](/regiony/rossiya) Здравствуйте.

Я автор-эксперт по инвестициям и финансам. Сотрудничала с известным финансовым порталом, писала для них экспертные статьи. С июля с ними не работаю. 
Вчера вдруг обнаружила, что 5 июля вышла якобы моя статья. Ее писала не я. Но подписана моим именем. Написала главному редактору, потребовала, чтобы убрали мое имя. Текст совершенно не профессиональный. Поэтому такая публикация портит мою деловую репутацию. Но и просто я не хочу, чтобы сторонние лица использовали мое имя. Получается, что задействованы 2 статьи ГК РФ (19 и 152). 
К сожалению, мое требование игнорируется. 

Подскажите, пожалуйста, что мне делать? Куда обращаться с жалобой? С требованием, чтобы было удалено мое имя? Или есть только один выход - подача в суд?",Вам необходимо написать претензию и после иск в суд,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-ya-avtor-ekspert-po-investiciyam-i-finans
"Регион: [Россия](/regiony/rossiya) Добрый день. Живу с мужчиной, у которого имеются удержания по исполнительному документу. Хотим расписаться и купить дом. Мужчина не работает. Смогут ли судебные приставы забрать этот дом в счет погашения долга, если он будет куплен в браке и оформлен на меня, с учетом того, что муж нигде не будет работать?","ЕСЛИ БУДЕТ КУПЛЕН В БАРКЕ, ТО СМОГУТ",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-zhivu-s-muzhchinoy-u-kotorogo-imeyutsya-uderzha
"Регион: [Россия](/regiony/rossiya) Если сотрудник полиции (условно 20 сентября) привлек к ответственности за правонарушение и выписал штраф, например 500 рублей, а по статье по которой штраф был выписан минимальный штраф с 20 сентября положен 1000 рублей, то как эта ситуация разрешится? Должен ли кто-то нести ответственность?",Вы несете ответственность в соответствии с кодексом об административных правонарушениях,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/esli-sotrudnik-policii-uslovno-20-sentyabrya-privlek-k-o
"Регион: [Россия](/regiony/rossiya) Купил airpods pro в объявлении было написано оригинал и сам продавец утверждал что это оригинал, оплата происходила переводом ему на карту сбербанк. Придя домой при детальной проверке выяснил что это китайская копия.",Вы вправе подать иск о взыскании денежных средств,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/kupil-airpods-pro-v-obyavlenii-bylo-napisano-original-i-sam
"Регион: [Россия](/regiony/rossiya) Здравствуйте, на работе произошёл конфликт, сказали что напишут на меня заявление.
Произошёл конфликт у меня с моей коллегой, я ее послала на х\*й и сказала что со мной в таком тоне разговаривать не нужно, она спросила «а что мне за это будет», я сказала «узнаешь».
Она сказала что я ей угрожала и она напишет на меня за это заявление. 
Вопрос: Считаются ли мои слова угрозой? И что будет если она пойдёт в полицию?","Только ответственность за оскорбление, 1000р",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-na-rabote-proizoshyol-konflikt-skazali-cht
"Регион: [Россия](/regiony/rossiya) Что будет с человеком, задержанных дпс за рулём в алкогольной состоянии, если у него ещё не закончился прошлый срок за вождение в нетрезвом виде?",Уголовное дело,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/chto-budet-s-chelovekom-zaderzhannyh-dps-za-rulyom-v-alkog
Регион: [Россия](/regiony/rossiya) О социальной и правовой защите военнослужащих можно?,Спрашивайте,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/o-socialnoy-i-pravovoy-zashchite-voennosluzhashchih-mozhno
Регион: [Россия](/regiony/rossiya) могут ли приставы описывать имущество . если в трёх комнатной квартире живут три собственника по 1/3 доли собственности ?,Составьте договор о порядке пользования,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/mogut-li-pristavy-opisyvat-imushchestvo-esli-v-tryoh-kom
"Регион: [Россия](/regiony/rossiya) Здравствуйте! В апреле 2021 прислали письмо из суда о погашении долга от мфо в размере 15 000 основной долг+%. Итого 42 000. Взятый кредит в 2018. Я ничего подобного не брала. Естественно я написала заявление в суде об отказе данного дела. А сейчас позвонили и сообщили о приходе в суд на заседании в конце октября об этом деле. Выяснилось, что мфо продал мой долг коллектора. А у них есть подлинные документы и контакты на моё имя(фото паспорта, телефонный номер, реквизиты банковской карты, электронная почта и подпись электронная). Какими словами я должна доказывать о своей не причастности? . Если я телефон на тот период потеряла телефон вместе с картой. И если всё таки придётся оплатить, то как сделать ниже долг? 
P. S. Оплатить я всё равно бы не смогла. У меня маленький ребёнок 4 мес. Пособие по уходу за ребёнком получаю минималку 7000. Муж в районе 25 000-30 000. Суд такие обстоятельства примет во внимание?",Заявите о сроке давности,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-v-aprele-2021-prislali-pismo-iz-suda-o-pog
"Регион: [Россия](/regiony/rossiya) Умерла бабушка 90 лет. Жена ветерана ВОВ. Единственный прописанный человек в квартире и единственный владелец. Имела льготы на оплату ЖКХ.

Вопрос: Кто должен оплачивать коммунальные платежи в течении 6 месяцев, до вступления в наследство?",Наследник,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/umerla-babushka-90-let-zhena-veterana-vov-edinstvennyy-p
"Регион: [Россия](/regiony/rossiya) Можно ли носить с собой нож, не являющийся холодным оружием, лица моложе 18 лет?","С целью перемещени и магазина и в подобных случаях

Обыскивать вас не имеют права",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/mozhno-li-nosit-s-soboy-nozh-ne-yavlyayushchiysya-holodnym-oru
"Регион: [Россия](/regiony/rossiya) Здравствуйте! У нас в университете поступают угрозы от деканата в таком формате: ""Дорогие обучающиеся! Обращаем ваше внимание на необходимость обязательного соблюдения масочного режима в университете. В последнее время участились проверки Роспотребнадзора в связи с многочисленными случаями заболевания коронавирусной инфекцией. Администрацией университета принято решение о применении мер дисциплинарного взыскания к нарушителям данного режима. Обращаем ваше внимание, что наличие дисциплинарного взыскания лишает права на поощрение в виде повышенной стипендии."" Законно ли вообще такое?","Стипендия назначается на основании положения университета, смотрите данный документ",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-u-nas-v-universitete-postupayut-ugrozy-ot
"Регион: [Россия](/regiony/rossiya) Добрый день! В 2015 году был вынесен судебный приказ, который был закрыт приставом за невозможностью взыскания. В 2021 году была подана в рацонный суд аппеляция на восстановление исолнительного листа , в чем был отказ. Истец подает аппеляцию в областной суд и на сайте суда решение оставить без изменений. К какому делу это относится 2015 или аппеляции о восстановление исполнительного листа?","Все в соответствии с поданной жалобой, исходя из вашего вопроса, то к восстановлению",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-v-2015-godu-byl-vynesen-sudebnyy-prikaz-kot
Регион: [Россия](/regiony/rossiya) По совместительству положены стимулирующие выплаты?,Если предусмотрены договором,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/po-sovmestitelstvu-polozheny-stimuliruyushchie-vyplaty
"Регион: [Россия](/regiony/rossiya) Здравствуйте! У меня есть высшее образование по специальности «лингвистика», училась на кафедре Перевода и переводоведения. Также проходила курсы переподготовки «учителя русского языка как иностранного». Сейчас работаю в школе, учителем английского. Хочу пройти курсы переподготовки «педагог-психолог». Для того чтобы работать дальше по этому направлению мне нужно профильное психологическое образование или могу с нынешним?",Вы можете обратиться с данным вопросом к руководителю,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-u-menya-est-vysshee-obrazovanie-po-specia
"Регион: [Россия](/regiony/rossiya) Хочу как физлицо купить автомобиль у юрлица. ККТ у юрлица нет, но при этом я являюсь ИП. Срок амортизации автомобиля у юрлица уже закончился, да и сам автомобиль не в идеальном состоянии. Могу ли я приобрести авто как ИП (для законного перечисления денежных средств безналичным путем), а на учет поставить как физлицо (с точки зрения законодательства ИП ведь и является физлицом)? Автомобиль не планирую использовать для нужд ИП, т.е. брать к зачету расходы на авто. Не возникнет ли обязанности к уплате налога для ИП при последующей продаже авто?
Спасибо.","При продаже будете платить налог как ИП, так как в договоре себя указали как ИП",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/hochu-kak-fizlico-kupit-avtomobil-u-yurlica-kkt-u-yurli
"Регион: [Россия](/regiony/rossiya) Здравствуйте, я отбывал наказание по ст111ч2. Из ик освободился по отбытию срока в апреле того года. Надзора нет. В этом году получил загранпаспорт. Скажите я могу выехать за границу?","Если отсутствуют ограничения и выдаи загранпаспорт, то можете",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-ya-otbyval-nakazanie-po-st111ch2-iz-ik-osvob
"Регион: [Россия](/regiony/rossiya) Добрый день, ГКУ заключило с ООО безвозмездный государственный контракт на разработку проектной документации. ООО разработало ПСД и получило положительное заключение экспертизы. Госзаказчик расторг госконтракт, акт выполненных работ сторонами не подписан. Требование ООО к Заказчику о возврате ПСД не удовлетворено. Скажите, пожалуйста, можем бы по безвозмездному договору требовать с госзрказчика возмещения понесенных расходов или неосновательного обогащения?","Если договор безвозмездный, то не можете, но в любом случае нужно анализировать договор",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-gku-zaklyuchilo-s-ooo-bezvozmezdnyy-gosudar
"Регион: [Россия](/regiony/rossiya) Можно ли обжаловать апелляционное определение, вынесенное районным судом в надзорную инстанцию верховного суда, если оно было обжаловано в кассационной инстанции (втором кассационном суде общей юрисдикции и оставленного без изменения), но в судебной коллегии Верховного суда РФ было оставлено без рассмотрения по существу на основании п 3 ч 1 ст 390.6 ГПК РФ?","Если уже вернули, то повторно не подать",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/mozhno-li-obzhalovat-apellyacionnoe-opredelenie-vynese-0
"Регион: [Россия](/regiony/rossiya) Можно ли обжаловать апелляционное определение, вынесенное районным судом в надзорную инстанцию верховного суда, если оно было обжаловано в кассационной инстанции (втором кассационном суде общей юрисдикции и оставленного без изменения), но в судебной коллегии Верховного суда РФ было оставлено без рассмотрения по существу на основании п 3 ч 1 ст 390.6 ГПК РФ?",Не дублируйте вопрос,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/mozhno-li-obzhalovat-apellyacionnoe-opredelenie-vynese
Регион: [Россия](/regiony/rossiya) Добрый день! Я мать-одиночка и хочу сменить своему ребенку (3 года) отчество. В дальнейшем при прохождении проверки в ФСБ ему потребуется указывать эту смену отчества?,"Поскольку оно будет отличаться от св-ва о рождении, то они и так это увидят",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-ya-mat-odinochka-i-hochu-smenit-svoemu-rebe
"Регион: [Россия](/regiony/rossiya) Доброго дня,з чоловіком була сварка він мене вдарив,я зняла побої і написала заяву чи можу я відкликати заяву про побиття за фактом примирення (у нас двоє дітей)",Данный форум только на русском языке,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobrogo-dnyaz-cholovikom-bula-svarka-vin-mene-vdarivya-z
"Регион: [Россия](/regiony/rossiya) Нужен совет.Меня поймали в магазине за кражу,товар был возвращен,открыли уголовное дело ,жду суда но очень переживаю",Вам нужно обратиться к адвокату,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/nuzhen-sovetmenya-poymali-v-magazine-za-krazhutovar-byl
"Регион: [Россия](/regiony/rossiya) Добрый день! Помогите разобраться в ситуации! Физическое лицо получило наследство (1 млн. рублей, например). У данного физ.лица есть долги (есть исполнительный лист), например, по алиментам, по кредитным платежам, по налогам. Приставы могут взыскать долги с полученного наследства? В каком размере? Можно с ссылками на законодательство! Заранее спасибо за ответ!",Могут взыскать в пределах стоимости имущества,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-pomogite-razobratsya-v-situacii-fizichesk
"Регион: [Россия](/regiony/rossiya) Здравствуйте.Подскажите пожалуйста, было дело прекращено в 2018 году,по СТ.25 УПК РФ,СТ.ОБВ.264 ч .1УК РФ.Могу ли я устроиться в садик ""Воспитателем""Или я могу забыть про работу в общеобразовательном учереждении?
Заранее спасибо,за ответ.","ТК РФ Статья 351.1. Ограничения на занятие трудовой деятельностью в сфере образования, воспитания, развития несовершеннолетних, организации их отдыха и оздоровления, медицинского обеспечения, социальной защиты и социального обслуживания, в сфере детско-юношеского спорта, культуры и искусства с участием несовершеннолетних

К трудовой деятельности в сфере образования, воспитания, развития несовершеннолетних, организации их отдыха и оздоровления, медицинского обеспечения, социальной защиты и социального обслуживания, в сфере детско-юношеского спорта, культуры и искусства с участием несовершеннолетних не допускаются лица, имеющие или имевшие судимость, а равно и подвергавшиеся уголовному преследованию (за исключением лиц, уголовное преследование в отношении которых прекращено по реабилитирующим основаниям) за преступления, указанные в абзацах третьем и четвертом части второй статьи 331 настоящего Кодекса, за исключением случаев, предусмотренных частью третьей настоящей статьи.

Наряду с указанными в статье 76 настоящего Кодекса случаями работодатель обязан отстранить от работы (не допускать к работе) работника в сфере образования, воспитания, развития несовершеннолетних, организации их отдыха и оздоровления, медицинского обеспечения, социальной защиты и социального обслуживания, в сфере детско-юношеского спорта, культуры и искусства с участием несовершеннолетних при получении от правоохранительных органов сведений о том, что данный работник подвергается уголовному преследованию за преступления, указанные в абзацах третьем и четвертом части второй статьи 331 настоящего Кодекса. Работодатель отстраняет от работы (не допускает к работе) работника на весь период производства по уголовному делу до его прекращения либо до вступления в силу приговора суда.

Лица из числа указанных в абзаце третьем части второй статьи 331 настоящего Кодекса, имевшие судимость за совершение преступлений небольшой тяжести и преступлений средней тяжести против жизни и здоровья, свободы, чести и достоинства личности (за исключением незаконной госпитализации в медицинскую организацию, оказывающую психиатрическую помощь в стационарных условиях, и клеветы), семьи и несовершеннолетних, здоровья населения и общественной нравственности, основ конституционного строя и безопасности государства, мира и безопасности человечества, а также против общественной безопасности, и лица, уголовное преследование в отношении которых по обвинению в совершении этих преступлений прекращено по нереабилитирующим основаниям, могут быть допущены к трудовой деятельности в сфере образования, воспитания, развития несовершеннолетних, организации их отдыха и оздоровления, медицинского обеспечения, социальной защиты и социального обслуживания, в сфере детско-юношеского спорта, культуры и искусства с участием несовершеннолетних при наличии решения комиссии по делам несовершеннолетних и защите их прав, созданной высшим исполнительным органом государственной власти субъекта Российской Федерации, о допуске их к соответствующему виду деятельности.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuytepodskazhite-pozhaluysta-bylo-delo-prekrashch-0
"Регион: [Россия](/regiony/rossiya) Здравствуйте, хотел проконсультироваться по моей ситуации.
10 февраля 2021 года я заключил с компанией ""Призыванет"" договор на сумму 45тыс .руб на оказание услуг консультационного характера в юридической и медицинских отраслях, целью которого получение военного билета на законных основаниях.
Через 5 месяцев я решил расторгнуть с ними договор так как не увидел никаких результатов за эти месяца. Были консультации их было около 7- 10 в которых меня консультировал врач, спрашивал какие анализы я сдавал, какие пришли результаты, анализировал мои результаты и направлял их к другим врачам. В сентябре Я обратился с просьбой в компанию о расторжении договора, на что они ответили положительно но с условием подписания ими отправленных соглашений в которых написано что они оставляют себе 23000 руб на организационные расходы. Я не согласен с данной компанией что 10 консультаций врача стоит 23000руб.Подскажите пожалуйста как возможно в моей ситуации вернуть оплаченную мною всю сумму? И какими пунктами в законе мне опираться для составления претензии ?","Вы возмещаете только фактически понесенные расходы, следовательно попросите обосновать сумму расходов",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-hotel-prokonsultirovatsya-po-moey-situ
"Регион: [Россия](/regiony/rossiya) Здравствуйте, мой муж покупает дом у моей сестры, я иду как созаемщик ли он в дальнейшем получать налоговые вычеты","Так продавец близкий родственник вам, то могут отказать",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-moy-muzh-pokupaet-dom-u-moey-sestry-ya-idu
"Регион: [Россия](/regiony/rossiya) Здравствуйте. 
Приобрела через интернет магазин букет цветов. Мне пришел ответ что именно таких нет, можем другие предложить. Я отказалась, сказав что другие не нужны. И попросила вернуть деньги.
На что пришел ответ ""ждите 14 рабочих дней"". Какие действительно сроки возврата денег?.",10 дней,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-priobrela-cherez-internet-magazin-buket
"Регион: [Россия](/regiony/rossiya) Здравствуйте. У меня такая проблема. Бывшая жена моего супруга умышленно не платит по квитанциям жкх (отопление) с 01.05.2020г. Организация-поставщик услуг подала в суд на взыскание долга с моего супруга и его бывшей жены СОЛИДАРНО. По причине того,что она переоформила квартиру на несовершеннолетнего ребенка( о чём мы узнали в марте 2021 года.Квартира была куплена в браке. Согласия на переоформление муж не давал). Поскольку ребёнок не может оплачивать счета, долг разделён между родителями. Судебные приставы орестовали счета мужа и списывают деньги с него одного,при этом он платит алименты и имеет кредит (вычитают 50% дохода + 25% алименты. Зарплата 14000 минималка). В квартире проживают и прописаны двое, ребёнок и мать. Муж прописан у своей матери и не проживает в квартире с развода.Помогите нам пожалуйста,что нам делать?",Вы можете продать свою долю и вызскать с супруги сумму в порядке регресса,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/ochen-nuzhna-pomoshch
"Регион: [Россия](/regiony/rossiya) Здравствуйте. У меня такая проблема. Бывшая жена моего супруга умышленно не платит по квитанциям жкх (отопление) с 01.05.2020г. Организация-поставщик услуг подала в суд на взыскание долга с моего супруга и его бывшей жены СОЛИДАРНО. По причине того,что она переоформила квартиру на несовершеннолетнего ребенка( о чём мы узнали в марте 2021 года.Квартира была куплена в браке. Согласия на переоформление муж не давал). Поскольку ребёнок не может оплачивать счета, долг разделён между родителями. Судебные приставы орестовали счета мужа и списывают деньги с него одного,при этом он платит алименты и имеет кредит (вычитают 50% дохода + 25% алименты. Зарплата 14000 минималка). В квартире проживают и прописаны двое, ребёнок и мать. Муж прописан у своей матери и не проживает в квартире с развода.Помогите нам пожалуйста,что нам делать?",Помогите решить проблему,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-u-menya-takaya-problema-byvshaya-zhena-moego
Регион: [Россия](/regiony/rossiya) Можно ли установить отцовство с взрослыми детьми?,"Да

Вы можете подать иск",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/mozhno-li-ustanovit-otcovstvo-s-vzroslymi-detmi
"Регион: [Россия](/regiony/rossiya) Здравствуйте, хочу узнать. Можно ли как-то привлечь мать и её сожителя, после того, как мне исполнилось 18?

Мне 19 лет, ранее мои родители регулярно устраивали скандалы, били меня, устраивали побои и оказывали моральное давление. Есть несколько заявлений о причинении вреда здоровью ( отчим ударил меня в лицо, когда я защищал от него мать ) было обращение в больницу и на сколько помню даже в полицию
Отчим регулярно бьёт мать, так же есть заявления, переписки и прочее 

Главная проблема - было это, когда я был 13-ти летним мальчишкой, то есть около 6 лет назад. И некоторые конфликты ранее, ""менее большого срока"" 
Можно ли привлечь её за это в настоящий момент? Можно ли поднять как-то те заявления и обратиться в правоохранительные органы?

Ещё есть вопросы по поводу органов опеки, Мать регулярно выпивает, грубо относится к своему второму сыну, бьеёт его, доводит до истерик. Что с этим можно сделать? Куда обращаться? 

И последний вопрос: Матери был выделен Материнский Капитал ( по старым правилам, после 2-го ребёнка ) из которого на меня фактически было потрачено Максимум 10.000 за несколько лет. Можно ли привлечь за это?",Вы вправе написать заявление по всем вопросам в прокуратуру и их рассмотрят,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-hochu-uznat-mozhno-li-kak-privlech-mat
