bugurt,prompt
"КРОВАТЬ, КОГДА ПЫТАЕШЬСЯ ПРОСНУТЬСЯ   
@  
СВЕРХУДОБНОЕ ЛОЖЕ, КОТОРОМУ ПОЗАВИДОВАЛ БЫ ДАЖЕ ЕРОХА, ДАЖЕ НЕБО, ДАЖЕ АЛЛАХ И ДАЖЕ БАБКА СРАКА С ТРЕТЬЕГО ЭТАЖА  
@  
КРОВАТЬ, КОГДА ПЫТАЕШЬСЯ ЗАСНУТЬ  
@  
ПИКРИЛ",
"КРОВАТЬ, КОГДА ПЫТАЕШЬСЯ ПРОСНУТЬСЯ   
@  
СВЕРХУДОБНОЕ ЛОЖЕ, КОТОРОМУ ПОЗАВИДОВАЛ БЫ ДАЖЕ ЕРОХА, ДАЖЕ НЕБО, ДАЖЕ АЛЛАХ И ДАЖЕ БАБКА СРАКА С ТРЕТЬЕГО ЭТАЖА  
@  
КРОВАТЬ, КОГДА ПЫТАЕШЬСЯ ЗАСНУТЬ  
@  
ПИКРИЛ  
@  
#антибугурт",
"ЗДЕСЬ ОДЕВАТЬ КОЛЬЦО ВСЕВЛАСТИЯ ЗАПРЕЩЕНО ЗОГ!   
@  
КОЛЬЦО СНИМАЙ!   
@  
СНИМАЙ КОЛЬЦО, Я СКАЗАЛ!   
@  
ЗАГ-ЗАГ!",
"ДОЛЖЕН СКАЗАТЬ ВАМ ГОСПОДА, БОРЩ ТУТ - ОТМЕННЫЙ  
@  
КАПУСТОЙ ЗАПРАВЛЕННЫЙ НО ДЮЖЕ ЦВЕТ У НЕЁ НЕ ПОДХОДЯЩИЙ  
@  
КОЛБАСКИ БАВАРСКИЕ!  
@  
ТОЛЬКО ВОТ ДОСАДА, САЛАТЫ ТУТ СТРАХ КАКИЕ ОТВРАТНЫЕ  
@  
РЕЖУТ В НЕГО КАПУСТУ ДА ЯБЛОКИ С АНАНАСАМИ, БА!  
@  
Я ПРИХОЖУ В ЯРОСТЬ ОТ ТАКОГО БЛЮДА  
@  
ЧТО ЕЩЁ МОГУ ПОВЕДАТЬ ВАМ ОБ ЭТОМ РЕСТОРАНЕ...  
@  
ЧАЙ, НУ КОНЕЧНО ЖЕ!  
@  
АРОМАТНЫЙ И ВКУСНЫЙ СТРАСТЬ КАКОЙ  
@  
КАК ВЫПЬЮ ЕГО, ТАК СРАЗУ СИЛУШКИ ПОЯВЛЯЮТСЯ НА СВЕРШЕНИЯ ВСЯЧЕСКИЕ  
@  
ВОТ ТАКОЕ МЕНЮ ИМЕЕМ В РЕСТОРАНЕ-С  
@  
А ЗВАТЬ МЕНЯ ГОСПОДА НИКИТА ЛИТВИНКОВ, МЕЛКИЙ ПОМЕСЧИК",
"РАСЧЕХЛЯЙ СЧЁТЧИК БУГУРТОВ, АНОН  
@  
ТЕБЯ ЗОВУТ АКАКИЙ (х1) АКАКИЕВИЧ (х2) БАШМАЧКИН (х3)  
@  
ТЫ СЫЧ И 50-ЛЕТНИЙ ЛИСТВЕННИК (х4, х5)  
@  
СНИМАЕШЬ СЫЧЕВАЛЬНЮ У 70-ЛЕТНЕЙ БАБКИ (х6)  
@  
РАБОТАЕШЬ КАНЦЕЛЯРСКИМ ПЛАНКТОНОМ (х7)  
@  
НА РАБОТЕ ТЕБЯ ВСЕ УНИЖАЮТ: БРОСАЮТ В ТЕБЯ БУМАЖКАМИ И ШИППЕРЯТ С ТВОЕЙ ХОЗЯЙКОЙ (х8)  
@  
ОДНАЖДЫ ТЫ ЗАМЕЧАЕШЬ, ЧТО ТВОЯ ШИНЕЛЬ ПРИШЛА СОВСЕМ ИСТРЕПАЛАСЬ (х9)  
@  
ТЫ ХОЧЕШЬ ЕЁ ПОЧИНИТЬ, НО ПОРТНОЙ ГОВОРИТ, ЧТО ОНА УЖЕ НЕПОЧИНЯЕМА — НАСТОЛЬКО ТЫ ЕЁ ЗАНОСИЛ (х10)  
@  
ТЕБЕ НУЖНА НОВАЯ ШИНЕЛЬ, НО ТВОЯ ЗАРПЛАТА УНИЗИТЕЛЬНО НИЧТОЖНА (х11) — НА ШИНЕЛЬ ПРИДЁТСЯ ДОЛГО И ЯРОСТНО КОПИТЬ  
@  
ПОЛГОДА ТЫ ЭКОНОМИШЬ НА ВСЁМ: НА СВЕЧАХ (х12), НА ЧАЕ (х13), ДАЖЕ НА СТИРКЕ (х14)  
@  
ТЫ ТВЁРД В СВОЁМ ЖЕЛАНИИ ПОЛУЧИТЬ ШИНЕЛЬ ЛЮБОЙ ЦЕНОЙ И ГОТОВ РАДИ НЕЁ НА ЛЮБЫЕ ЛИШЕНИЯ  
@  
НАКОНЕЦ, НУЖНАЯ СУММА НАКОПЛЕНА   
@  
ПОРТНОЙ ПЕТРОВИЧ ШЬЁТ ТЕБЕ НОВУЮ ШИНЕЛЬ ИЗ РОСКОШНОГО СУКНА, А НА ВОРОТНИК ПОМЕЩАЕТ КОШКУ, КОТОРАЯ ИЗДАЛЕКА ОЧЕНЬ ДАЖЕ ПОХОЖА НА КУНИЦУ  
@  
НЕУЖЕЛИ НАКОНЕЦ-ТО ПРОИЗОШЁЛ АНТИБУГУРТ?  
@  
ПОХОЖЕ НА ТО! РАСЧЕХЛЯЕМ СЧЁТЧИК АНТИБУГУРТОВ  
@  
КОЛЛЕГИ ПОЗДРАВЛЯЮТ ТЕБЯ И ВОСХИЩАЮТСЯ ТВОЕЙ НОВОЙ ШИНЕЛЬЮ (х1)  
@  
ВПЕРВЫЕ В ЖИЗНИ ТЕБЯ ПРИГЛАШАЮТ НА КОРПОРАТИВ — ОТМЕТИТЬ ДР НАЧАЛЬНИКА И ВСПРЫСНУТЬ ТВОЮ ОБНОВКУ (х2)  
@  
ТАМ ТЫ ВКУСНО КУШАЕШЬ (х3) И ВЫПИВАЕШЬ ПАРУ БОКАЛОВ ШАМПАНСКОГО (х4)  
@  
ИДЁШЬ ДОМОЙ ПЬЯНЕНЬКИЙ И ДАЖЕ НЕСКОЛЬКО РАСКРЕПОЩЁННЫЙ (х5)  
@  
ПОЗВОЛЯЕШЬ СЕБЕ РАЗНЫЕ ВОЛЬНОСТИ: НАПРИМЕР, ЧЕКАЕШЬ ЗАДНИЦУ СОЧНОЙ БАБЁНКИ, ПРОХОДЯЩЕЙ МИМО (х6)  
@  
ЖИЗНЬ НАКОНЕЦ-ТО ПРЕКРАСНА И УПОИТЕЛЬНА  
@  
ВДРУГ К ТЕБЕ ПОДХОДИТ КАКАЯ-ТО ГОПОТА  
@  
ДАЮТ ТЕБЕ ПИНКА И СНИМАЮТ ТВОЮ ДОРОГУЮ ШИНЕЛЬ  
@  
СЧЁТЧИК АНТИБУГУРТОВ МГНОВЕННО ОБНУЛЯЕТСЯ И ВКЛЮЧАЕТСЯ ПРИВЫЧНЫЙ СЧЁТЧИК ВСЁ-ТАКИ БУГУРТОВ  
@  
ТЫ БЕЖИШЬ К БУДОЧНИКУ, ГОВОРИШЬ, ЧТО ТЕБЯ ОГРАБИЛИ, НО ОН ЛИШЬ РАЗВОДИТ РУКАМИ (х15) И СОВЕТУЕТ ИДТИ К КВАРТАЛЬНОМУ НАДЗИРАТЕЛЮ  
@  
КВАРТАЛЬНЫЙ НАДЗИРАТЕЛЬ ЛИШЬ РАЗВОДИТ РУКАМИ (х16) И СОВЕТУЕТ ИДТИ К ЗНАЧИТЕЛЬНОМУ ЛИЦУ   
@  
ЗНАЧИТЕЛЬНОЕ ЛИЦО НЕ РАЗВОДИТ РУКАМИ, А СОВЕТУЕТ СРАЗУ ЖЕ ИДТИ НАХУЙ (х17)  
@  
ОТ ОГОРЧЕНИЯ И ПРОСТУДЫ ТЫ ЗАБОЛЕВАЕШЬ (х18) И ПОМИРАЕШЬ (х19)  
@  
ИЗВЕСТИЕ О ТВОЕЙ БЕЗВРЕМЕННОЙ КОНЧИНЕ, ГОВОРЯ ОТКРОВЕННО, МАЛО КОГО ВЗВОЛНОВАЛО: ИНЫМИ СЛОВАМИ, ВСЕМ ПОХУЙ (х20)  
@  
ИТОГО: 20 БУГУРТОВ ПРОТИВ 6 АНТИБУГУРТОВ  
@  
ЕСТЬ, ВПРОЧЕМ, ОДНО УТЕШАЮЩЕЕ ОБСТОЯТЕЛЬСТВО: ПОСЛЕ СМЕРТИ ТЫ СТАЛ ПРИЗРАКОМ И ТЕПЕРЬ САМ ОТБИРАЕШЬ У ЛЮДЕЙ ОДЕЖДУ  
@  
ОДНАЖДЫ ТЫ ДАЖЕ ОГРАБИЛ ТО САМОЕ ЗНАЧИТЕЛЬНОЕ ЛИЦО И ТЕПЕРЬ ХОДИШЬ В ЕГО ВЕЛИКОЛЕПНОЙ ГЕНЕРАЛЬСКОЙ ШИНЕЛИ  
@  
В КАКОМ-ТО СМЫСЛЕ АНТИБУГУРТ (х7)",
"СИДИШЬ НА ХИМИИ  
@  
СЛЫШИШЬ «крек…»  
@  
ДУМАЕШЬ О КРЕКЕРАХ - ВКУСНЕЙШИХ ПЕЧЕНЮШКАХ  
@  
УЧИТЕЛЬНИЦА ЕХИДНО ОБЬЯСНЯЕТ КРЕКИНГ - ПРОЦЕСС РАСПАДА АЛКАНОВ НА АЛКАН С МЕНЬШИМ КОЛ-ВОМ УГЛЕРОДА И АЛКЕН ПОД ДЕЙСТВИЕМ ВЫСОКОЙ ТЕМПЕРАТУРЫ",
"ТЫ СЫЧ КЛАССА ОБЫКНОВЕННЫЙ 12 ЛЕТ  
@  
ШКОЛЬНЫЙ ДЕНЬ  
@  
В РАСПИСАНИИ БЫЛО ХВАЛА НЕБЕСАМ 4 УРОКА  
@  
ПЕРВЫЙ УРОК ПРОШЁЛ С МУКАМИ, НО ПРОСТО  
@  
ВТОРОЙ УРОК.. А ГДЕ?  
@  
НА ПАРУ СО СВОИМ ТАКИМ ЖЕ ГЛУПЫМ ОДНОКЛАССНИКОМ ПРИНЯЛИ КОЛЛЕКТИВНОЕ РЕШЕНИЕ ПРОЕБАТЬ УРОК ИСТОРИИ ПОТОМУ ЧТО НЕ НАШЛИ КАБИНЕТ  
@  
ПОСРЕДИ ВАШЕГО ПИНАНИЯ ДИЛДАКОВ К ВАМ ЗАШЕЛ ЧУТЬ ЛИ НЕ ВЕСЬ ПАРАЛЛЕЛЬНЫЙ КЛАСС  
@  
С ЛИЦОМ ЛЯГУШКИ, СМИРИВШИСЬ С ТЕМ ЧТО ВЫ НЕ БУДЕТЕ В ТИШИНЕ СИДИТЕ ДАЛЬШЕ В ТУАЛЕТЕ  
@  
К ВАМ ВВАЛИВАЕТСЯ КТО-ТО ИЗ УЧИТЕЛЕЙ, И ПОИМЁННО ВЫВОДИТ ИЗ ТУАЛЕТА ПОЧТИ КАЖДОГО  
@  
А ПОЧТИ ПОТОМУ ЧТО ДВА ИДИОТА СИДЕЛИ В КАБИНКЕ И МОЛИЛИСЬ ЧТО ИХ НЕ НАЙДУТ  
@  
МОЛЯСЬ НЕБЕСАМ, АЛЛАХУ, ТРУСАМ БАТИ ВАС НЕ ЗАМЕТИЛИ, И ВЫ РАСЖАВ ЖОПУ С РАЗМЕРОВ КВАНТА ПРОПУСТИЛИ УРОК  
@  
КАЗАЛОСЬ БЫ #АНТИБУГУРТ  
@  
НО СТАРОСТА И ПОЧТИ ПОЛ КЛАССА СПАЛИЛИ ВАС КЛАССУХЕ  
@  
С ОБОСРАННОЙ ЖОПОЙ, ВАМ УСТРОИЛИ ЭКЗЕКУЦИЮ НА МЕСТЕ ВСЕ, ВПЛОТЬ ДО ДИРЕКТОРА  
@  
ВСЕ ТАКИ #БУГУРТ",
"ТЫ ГОЛУБЬ  
@  
СИМВОЛ МИРА, ЛЮБВИ, СВОБОДЫ И ПРОСТО МИЛАЯ МЕМНАЯ ЖИВНОСТЬ  
@  
МОЖЕШЬ ПРИСПОСОБИТЬСЯ ПРАКТИЧЕСКИ В ЛЮБЫХ УСЛОВИЯХ  
@  
ТОБОЙ НАЗЫВАЮТ ПАРНЕЙ, КОТОРЫЕ СТУПИЛИ НА РАДУЖНЫЙ ПУТЬ  
@  
А ЕЩЁ ТЕБЯ ЛЮБЯТ БОМЖИ  
@  
ВМЕСТЕ С ВОДКОЙ КРАСНАЯ ЦЕНА",
"ДОЛЖЕН ВАМ ПРИЗНАТЬСЯ СУДАРИ, МОЙ ПАПЕНЬКА - ГУРМАН КАКИХ ЕЩЁ ПОИСКАТЬ СЛЕДУЕТ  
@  
ГОТОВИТ ТАКИЕ БЛЮДА, ЧТО НИ ОДНОМУ ПОВАРУ ИЗ ПАРИЖА ДАЖЕ НЕ СНИЛИСЬ  
@  
НА ПРИМЕТЕ ВОТ ТАКОЙ ОБЫЧНЫЙ РЕЦЕПТ БОРЩА ЕГО ПРИГОТОВЛЕНИЯ  
@  
ОН У НАШЕЙ КУХАРКИ-С СУП ИЗВОЛИТ ИСТРЕБОВАТЬ, НО ЖДЁТ ПОКА ТОТ СТАНЕТ ХОЛОДНЫМ СЛОВНО ОКРОШКА-С  
@  
ПОСКОЛЬКУ СВЕЖЕСВАРЕННЫЙ ИСКУШАТЬ - НЕ ЕГО ПРИХОТЬ  
@  
СУП ЗНАЧИТСЯ-С ВЫЛИВАЕТСЯ НА СКОВОРОДУ ЧУГУННУЮ И НАЧИНАЕТСЯ ЖАРКА  
@  
К НЕМУ ОН ДОБАВЛЯЕТ ЛУК, ЧЕСНОК, ПЕРЦЫ РАЗНЫЕ ДА ПРЯНОСТИ ОСТРЫЕ ПРЕДСТАВИТЬ СТРАШНО СКОЛЬ ОГРОМЕН СЕЙ ОБЪЁМ   
@  
МУКА ОБЯЗАНА БЫТЬ ДОБАВЛЕНА И ДЛЯ ВЯЗКОСТИ ПАСТА ТОМАТНАЯ  
@  
ГОТОВНОСТЬ ОПРЕДЕЛЯЕТСЯ ПО ОБИЛЬНОМУ ДЫМУ ИСХОДЯЩЕМУ ОТ БЛЮДА, А ПОСЛЕ СИХ ПРИГОТОВЛЕНИЙ, ОН НА БАЛКОНЧИК ВЫНОСИТ СКОВОРОДУ, ОСТУЖАТЬ  
@  
А УЖ КАК БЛЮДО ОСТЫНЕТ, ЗАЛИВАЕТ ЕГО МАЙОНЕЗОМ, СЛОВНО САЛАТ МИСЬЕ ОЛИВЬЕ ИЗ РЕСТОРАНА ЭРМИТАЖ  
@  
КАК ТРАПЕЗА НАСТУПАЕТ, ТАК ОН СТОЛОВЫМИ ПРИБОРАМИ НАЧИНАЕТ ШКРЯБАТЬ ПО СКОВОРОДЕ  
@  
ОТ ТАКОГО БЛЮДА ИСПАРИНА НА ЛБУ ПРОСТУПАЕТ, А ОН КУШАТЬ ИЗВОЛИТ ДОВОЛЬНО И ТТХОНЬКО ПРИГОВАРИВАТЬ ""УХ ЯДРЁНА ВОШЬ""  
@  
ИНОГДА И МНЕ ЛЮБЕЗНО ПРЕДЛАГАЕТ ОТВЕДАТЬ, НО Я НЕ ЛИШАЮ ЕГО УДОВОЛЬСТВИЯ НАСЛАДИТСЯ СИМ КУЛИНАРНЫМ ИЗЫСКОМ  
@  
СТОИТ ЛИ УПОМЯНУТЬ, ЧТО ПОСЛЕ ТАКОГО БЛЮДА, ПО ВСЕЙ УСАДЬБЕ ДУРНО ПАХНЕТ, АКИ В ОТХОЖЕМ МЕСТЕ?  
@  
ЗАПАХ СТОИТ ТАКОЙ, ЧТО ОТДЕЛКА СТЕН ИЗВОЛИТ СЛЕЗАТЬ",
"ОХ ГОСПОДА, ВЫ БЫ ЗНАЛИ, КАК МНЕ ХОЧЕТСЯ БАРЫШНЕЙ ОБЗАВЕСТИСЬ  
@  
КАК ЖЕ ЖЕЛАННА ХУДЕНЬКАЯ, СЛОВНО БЕРЁЗКА. С АРИСТОКРАТИЧНОЙ БЛЕДНОСТЬЮ  
@  
НЕВИННУЮ И НЕЗАМУЖНЮЮ, ЧТОБЫ ЕЁ УСТА НЕ ЗНАЛИ ВКУСА ЧУЖИХ УСТ  
@  
С РУЧКАМИ ХУДЫМИ, ДАБЫ УКРАШЕНИЯ КАК ВКРАПЛЕНИЯ КАМЕНИЙ ДРАГОЦЕННЫХ НА КОРОНЕ ЦАРСКОЙ СМОТРЕЛИСЬ  
@  
НОЖКАМИ С МАХОНЬКИМИ ТУФЕЛЬКАМИ  
@  
ТЕНЯМИ ПОД ОЧАМИ, ДА ВОЛОСАМИ РАСТРЁПАННЫМИ КАК У СКАКУНА НЕПОКОРНОГО ГРИВА  
@  
БЕЗ РУМЯНЫ ДА ПУДРЫ, СТЕСНИТЕЛЬНУЮ КРАСАВИЦУ БЕЗ УХАЖЁРОВ И ПОДРУГ  
@  
НЕЛЮДИМУЮ, НО ЧТОБЫ МЕЧТАЛА О ДРУГЕ СЕРДЕЧНОМ  
@  
ДАБЫ ПРЕДЛАСПОЛОЖИТЬ К СЕБЕ, НО НЕ ПРЕДАТЬ ДОВЕРИЯ  
@  
ДА ВМЕСТЕ С НЕЙ УДАЛИТЬСЯ ПРОЧЬ ОТ ВСЕХ ЭТИХ МИРСКИХ НЕВЗГОД  
@  
ОХ СУДАРИ, КАК ЖЕ ГОРЕСТНО МНЕ БЕЗ БАРЫШНИ!",
"‌ТЫ - ГРУЗЧИК В КАРГО  
@  
РАБОТАЕШЬ 25 ЧАСОВ В СМЕНУ  
@  
ДУМАЕШЬ О ТОМ, ЧТО НЕПЛОХО БЫЛО БЫ ИЗМЕНИТЬ ЧАСТЬ ПИЩЕВОЙ ЦЕПОЧКИ СТАНЦИИ  
@  
ВЕДЬ ОТДЕЛ, КУДА НУЖНЫ ВСЕ ЭТИ МАТЕРИАЛЫ, И ОТДЕЛ, КУДА МАТЕРИАЛЫ ПРИХОДЯТ, НАХОДЯТСЯ В РАЗНЫХ ЧАСТЯХ КОСМИЧЕСКОЙ СТАНЦИИ  
@  
РЕШАЕШЬ ПОСТРОИТЬ ПРОИЗВОДСТВО В СВОËМ ОТДЕЛЕ  
@  
НАХОДИШЬ СООБЩНИКОВ, КОТОРЫЕ ПОМОГАЮТ С КОМПОНЕНТАМИ  
@  
СПУСТЯ ДОЛГИЕ ЧАСЫ МОТАНИЯМ ПО СТАНЦИИ И СБОРКОЙ ДЕТАЛЕЙ НАКОНЕЦ СТРОИШЬ СЕРДЦЕ ПРОИЗВОДСТВА  
@  
АППЛОДИРУЕШЬ СЕБЕ  
@  
АЛЛАХУ  
@  
НЕБУ  
@  
ЗА ТО, ЧТО ВЫПОЛНЕНА БОЛЬШАЯ ЧАСТЬ РАБОТЫ  
@  
ЗА ТО, ЧТО СЕРДЦЕ ПРОИЗВОДСТВА ЗАРАБОТАЛО И НЕ ВЫЗЫВАЕТ ВОПРОСОВ СО СТОРОНЫ МИМО ПРОХОДЯЩИХ  
@  
ИДËШЬ ПРАЗДНОВАТЬ В БАР  
@  
МО ВОЗВРАЩЕНИЮ ДОМОЙ ВЕСЬ ТВОЙ ТРУД ПРЕДСТАВЛЯЕТ ИЗ СЕБЯ ОСКОЛКИ СТЕКЛА И КУСКИ МЕТАЛЛА С ТОРЧАЩИМИ ПРОВОДАМИ  
@  
ОКОЛО НИЗ СТОЯТ СБ, ГП И ДИРЕКТОР РНД  
@  
""ты строил? ""  
@  
""это, конечно, нигде не прописано в правилах""  
@  
""но и нигде не написано, что можно""  
@  
""так что мы с ни-ху-я и без законных оснований решили снести всë, что ты тут строил, а на согласие на перестройку, которое я подписывал, похуй""  
@  
#КАЗАЛОСЬБЫБУГУРТ  
@  
НО ТЫ ЗАМЕЧАЕШЬ, ЧТО ГЛАВА РНД НЕ ЗЛИТСЯ И ВООБЩЕ ЕМУ ПОФИГ  
@  
ЧТО ЕСТЬ НАДЕЖДА, ЧТО ПОЛУЧИТСЯ С НИМ ДОГОВОРИТЬСЯ  
@  
ДОГОНЯЕШЬ ЕГО В КОРРИДОРЕ С ПРОСЬБОЙ ПОСТРОИТЬ КОНСОЛЬ  
@  
И ОН ПОЧТИ ЧТО ДАËТ СОГЛАСИЕ, ХОТЬ И ИЗ ЖАЛОСТИ  
@  
НО ПОСРЕДИ ДИАЛОГА ТЕБЯ УТАСКИВАЕТ И СЪЕДАЕТ ДЕМОН  
@  
УЛЕТАЕШЬ НА ЛАВАЛЕНД, ПРИЧËМ БЕЗ ШАТТЛА",
"ТРЕТИЙ КЛАСС  
@  
НА ТРУДАХ ПЕРЕД НОВЫМ ГОДОМ ДЕЛАЕТЕ СНЕЖКИ ДЛЯ НОВОГОДНЕГО ПРЕДСТАВЛЕНИЯ  
@  
НЕМНОГО КЛЕЯ, НЕМНОГО ВАТЫ  
@  
ВЫ С ТОВАРИЩЕМ ПРОПИТЫВАЕТЕ ВСЁ К ХУЯМ КЛЕЕМ, СНЕЖКИ ПОЛУЧАЮТСЯ БУДЬ ЗДОРОВ  
@  
ПЕРЕД ЁЛКОЙ ОТЫСКИВАЕТЕ В КОРЗИНЕ СО СНЕЖКАМИ СВОИ, НЫЧЕТЕ ПОД СВОИ СТУЛЬЯ  
@  
В МОМЕНТ Х, КОГДА НАДО КИДАТЬСЯ СНЕЖКАМИ В ЗЛОДЕЕВ ИЗ СПЕКТАКЛЯ  
@  
ХУЯРИТЕ В ЕБЛИЩЕ ДЕДУ МОРОЗУ  
@  
ДЕДУШКА В АХУЕ, НИКТО НИЧЕГО НЕ ВИДЕЛ, ТАК КАК СНЕЖКИ ЛЕТЕЛИ ОТОВСЮДУ СРАЗУ",
"ЛЮБЕЗНЫЙ, ДА МНЕ ВСЁ РАВНО НА ВАС, КАКАЯ У ВАС ТАМ КАРЕТА, ПОМЕСТЬЕ, ХОТЬ ТАМ ПОРОДИСТЫЕ КОНИ, ХОТЬ УПРЯЖКИ С БОРЗЫМИ, АВОСЬ И ВОВСЕ ПЛЕТЁННАЯ ЛОДКА, Я НА ВСЁ ЭТО ИСПРАЖНЯЛСЯ, ВНИМАЕТЕ СУДАРЬ?  
@   
МНЕ БЕЗРАЗЛИЧНО В КАКОМ КАФТАНЕ ВЫ ПОЙДЁТЕ КУРТИЗАНОК НА БАЛУ ВИНОМ ОПАИВАТЬ, И КОГО ИЗ ПРОФУРСЕТОК С ЦЕЛЬЮ ПРОДОЛЖЕНИЯ БАЛА В СВОИ ИМЕНИЯ ПОВЕЗЁТЕ ДЛЯ ИМЕНИЯ   
@   
ХОТЬ ВЫ ЗА ТРИДЕВЯТЬ ЗЕМЕЛЬ НА КОНЯХ СВОИХ ВОСВОЯСИ УКАТИТЕСЬ, МНЕ ЭТО ИНДИФФЕРЕНТНО, Я В САМОПОЗНАНИИ НАСТОЛЬКО ПРЕВЗОШЁЛ СВОИ ПРЕДЕЛЫ, СЛОВНО СОТНЮ ВЕКОВ ПРОЖИВАЮ НА ВЕЛИКОМ МНОЖЕСТВЕ ТАКИХ ЖЕ ТРИДЕВЯТЫХ ЦАРСТВ, КАК ЭТО ЦАРСТВО   
@   
МНЕ ЭТОТ БЫТ УЖЕ СОВЕРШЕННО ПРИЕЛСЯ, И Я ЗДЕСЬ ИЩУ ТОЛЬКО ОДНОГО - ОТИШИЯ, БЕЗМЯТЕЖНОСТИ И ВОТ ЭТОГО ГАРМОНИЧЕСКОГО ЕДИНСТВА",
"ELDEN RING   
@  
РЕТЕКСТУРЫ БЕЗ ИЗМЕНЕНИЯ МЕХАНИК  
@  
КОСТЕР - БЛАГОДАТЬ, ДУШИ - РУНЫ, ЭСТУС - ЛАЗУРНЫЕ СЛЕЗЫ, ОСКОЛКИ ЭСТУСА - СЕМЕЧКИ, ОСКОЛКИ КОСТИ - БОЖЕСТВЕННЫЕ СЛЕЗЫ, ТИТАНИТ - КУЗНЕЧНЫЕ КАМНИ  
@  
""БЕСШОВНЫЙ"" ОТКРЫТЫЙ МИР, В КОТОРОМ НЕЧЕМ ЗАНИМАТЬСЯ  
@  
НЕИГРАБЕЛЬНЫЕ БИЛДЫ  
@  
ОРУЖИЕ НА ВЕРУ  
@  
ВСЕ БОССЫ КОСПЛЕЯТ ПРЕСЛЕДОВАТЕЛЯ  
@   
ОДИНАКОВЫЕ ДАНЖИ  
@  
ВЕКОВЫЕ ЗАПАСЫ РЯБИНЫ  
@  
КВЕСТЛАЙНЫ, КОТОРЫЕ НЕВОЗМОЖНО ПРОЙТИ БЕЗ ГАЙДОВ  
@  
СОТНИ ТЫСЯЧ ДУШ, СТРЕЛЯЯ В ПТИЦУ С ОБРЫВА  
@  
СПРАВОЧНИКИ   
@  
ПОЛОВИНУ БОССОВ НЕВОЗМОЖНО ПРОЙТИ МАГОМ  
@  
ОЛЕГ, МАКАР И ЮРА  
@  
ПРОХОЖДЕНИЕ ЛОКАЦИИ РАДИ ИТОГОВОЙ НАГРАДЫ В ВИДЕ БЕСПОЛЕЗНОЙ ПАЛКИ-КОВЫРЯЛКИ  
@  
ПРОХОЖДЕНИЕ ЛОКАЦИИ РАДИ ИТОГОВОЙ НАГРАДЫ В ВИДЕ МОЛИТВЫ, НА КОТОРУЮ НУЖНО 120 ВЕРЫ  
@  
УБИЙСТВО ПЕРВОГО БОССА ПОСЛЕ ПОЛНОГО ЗАЛУТАНИЯ ЛАСТ ЛОКАЦИИ  
@  
БИЛДЫ НА КРОВОТЕЧЕНИИ  
@  
80% РЕЗИСТ К СВЯТОМУ УРОНУ  
@  
МОГ, ПОВЕЛИТЕЛЬ КРОВИ  
@  
ИЗЪЯЗВЛЕННЫЙ ДРЕВЕСНЫЙ ДУХ  
@  
СКИПЫ И БАГИ  
@  
РЕКИ КРОВИ  
@  
МАЛЕНИЯ  
@  
ГРАВИТАЦИЯ  
@  
КАТАКОМБЫ ЛЕЙНДЕЛА   
@  
ДА СЛАВИТСЯ СОБАКА!  
@  
ПРЫГНУТЬ ПОПРОБУЙ  
@  
ВСЕ ОБЗОРЫ: ОЧЕНЬ ПОЛОЖИТЕЛЬНЫЕ  
@  
ИГРА ГОДА",
